Application: Tecan i-control,,,,"Tecan i-control , 2.0.10.0",,,,,,,
Device: infinite 200Pro,,,,Serial number: 2107000449,,,,Serial number of connected stacker:,,,
Firmware: V_5.31_04/18_InfiniteRX (Mar 28 2018/16.41.26),,,,"MAI, V_5.31_04/18_InfiniteRX (Mar 28 2018/16.41.26)",,,,,,,
,,,,,,,,,,,
Date:,6/3/22,,,,,,,,,,
Time:,4:35:58 PM,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
System,,,,LIUSYNEVOLAB,,,,,,,
User,,,,Liusynevolab\Liu Syn Evo Lab,,,,,,,
Plate,,,,Corning 96 Flat Bottom Black Polystyrene Cat. No.: 3631 [COR96fb clear bottom.pdfx],,,,,,,
Plate-ID (Stacker),,,,,,,,,,,
,,,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,,,
,,,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,,,
Kinetic,,,,,,,,,,,
Shaking (Linear) Duration:,,,,10,s,,,,,,
Shaking (Linear) Amplitude:,,,,4,mm,,,,,,
Absorbance,,,,,,,,,,,
Shaking (Linear) Duration:,,,,10,s,,,,,,
Shaking (Linear) Amplitude:,,,,4,mm,,,,,,
Fluorescence,,,,,,,,,,,
Shaking (Linear) Duration:,,,,10,s,,,,,,
Shaking (Linear) Amplitude:,,,,4,mm,,,,,,
Fluorescence,,,,,,,,,,,
Shaking (Linear) Duration:,,,,300,s,,,,,,
Shaking (Linear) Amplitude:,,,,3,mm,,,,,,
Shaking (Orbital) Duration:,,,,60,s,,,,,,
Shaking (Orbital) Amplitude:,,,,3,mm,,,,,,
,,,,,,,,,,,
3 Labels,,,,,,,,,,,
Kinetic Measurement,,,,,,,,,,,
Kinetic duration,,,,08:00:00,,,,,,,
Interval Time,,,,00:10:00,,,,,,,
Mode,,,,Absorbance,,,,,,,
Measurement Wavelength,,,,700,nm,,,,,,
Bandwidth,,,,9,nm,,,,,,
Number of Flashes,,,,20,,,,,,,
Settle Time,,,,0,ms,,,,,,
Mode,,,,Fluorescence Bottom Reading,,,,,,,
Excitation Wavelength,,,,565,nm,,,,,,
Emission Wavelength,,,,595,nm,,,,,,
Excitation Bandwidth,,,,9,nm,,,,,,
Emission Bandwidth,,,,20,nm,,,,,,
Gain,,,,140,Manual,,,,,,
Number of Flashes,,,,20,,,,,,,
Integration Time,,,,20,µs,,,,,,
Lag Time,,,,0,µs,,,,,,
Settle Time,,,,0,ms,,,,,,
Mode,,,,Fluorescence Bottom Reading,,,,,,,
Excitation Wavelength,,,,485,nm,,,,,,
Emission Wavelength,,,,515,nm,,,,,,
Excitation Bandwidth,,,,9,nm,,,,,,
Emission Bandwidth,,,,20,nm,,,,,,
Gain,,,,80,Manual,,,,,,
Number of Flashes,,,,20,,,,,,,
Integration Time,,,,20,µs,,,,,,
Lag Time,,,,0,µs,,,,,,
Settle Time,,,,0,ms,,,,,,
Start Time:,6/3/2022 4:35:58 PM,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
OD700,,,,,,,,,,,
Cycle Nr.,1,,,,,,,,,,
Time [s],0,,,,,,,,,,
Temp. [°C],37.7,,,,,,,,,,
A1,0.079700001,,,,,,,,,,
A2,0.0766,,,,,,,,,,
A3,0.076200001,,,,,,,,,,
A4,0.076200001,,,,,,,,,,
A5,0.079700001,,,,,,,,,,
A6,0.077299997,,,,,,,,,,
A7,0.075800002,,,,,,,,,,
A8,0.076200001,,,,,,,,,,
A9,0.075900003,,,,,,,,,,
A10,0.076800004,,,,,,,,,,
A11,0.075300001,,,,,,,,,,
A12,0.077,,,,,,,,,,
B1,0.076800004,,,,,,,,,,
B2,0.0779,,,,,,,,,,
B3,0.077600002,,,,,,,,,,
B4,0.0766,,,,,,,,,,
B5,0.078299999,,,,,,,,,,
B6,0.077699997,,,,,,,,,,
B7,0.075099997,,,,,,,,,,
B8,0.076200001,,,,,,,,,,
B9,0.077100001,,,,,,,,,,
B10,0.076399997,,,,,,,,,,
B11,0.076200001,,,,,,,,,,
B12,0.075900003,,,,,,,,,,
C1,0.076899998,,,,,,,,,,
C2,0.0779,,,,,,,,,,
C3,0.077500001,,,,,,,,,,
C4,0.076200001,,,,,,,,,,
C5,0.080200002,,,,,,,,,,
C6,0.076399997,,,,,,,,,,
C7,0.075499997,,,,,,,,,,
C8,0.076099999,,,,,,,,,,
C9,0.075999998,,,,,,,,,,
C10,0.076300003,,,,,,,,,,
C11,0.077100001,,,,,,,,,,
C12,0.075499997,,,,,,,,,,
D1,0.076499999,,,,,,,,,,
D2,0.076800004,,,,,,,,,,
D3,0.076499999,,,,,,,,,,
D4,0.077100001,,,,,,,,,,
D5,0.077500001,,,,,,,,,,
D6,0.078000002,,,,,,,,,,
D7,0.075599998,,,,,,,,,,
D8,0.0757,,,,,,,,,,
D9,0.075499997,,,,,,,,,,
D10,0.075999998,,,,,,,,,,
D11,0.075800002,,,,,,,,,,
D12,0.075400002,,,,,,,,,,
E1,0.077200003,,,,,,,,,,
E2,0.076399997,,,,,,,,,,
E3,0.076200001,,,,,,,,,,
E4,0.076099999,,,,,,,,,,
E5,0.080399998,,,,,,,,,,
E6,0.075000003,,,,,,,,,,
E7,0.074100003,,,,,,,,,,
E8,0.0748,,,,,,,,,,
E9,0.0744,,,,,,,,,,
E10,0.074900001,,,,,,,,,,
E11,0.074600004,,,,,,,,,,
E12,0.074100003,,,,,,,,,,
F1,0.077100001,,,,,,,,,,
F2,0.075099997,,,,,,,,,,
F3,0.0748,,,,,,,,,,
F4,0.076099999,,,,,,,,,,
F5,0.076099999,,,,,,,,,,
F6,0.076399997,,,,,,,,,,
F7,0.075599998,,,,,,,,,,
F8,0.074199997,,,,,,,,,,
F9,0.074699998,,,,,,,,,,
F10,0.074500002,,,,,,,,,,
F11,0.075400002,,,,,,,,,,
F12,0.073899999,,,,,,,,,,
G1,0.077200003,,,,,,,,,,
G2,0.075199999,,,,,,,,,,
G3,0.076899998,,,,,,,,,,
G4,0.0766,,,,,,,,,,
G5,0.077,,,,,,,,,,
G6,0.076099999,,,,,,,,,,
G7,0.075199999,,,,,,,,,,
G8,0.072999999,,,,,,,,,,
G9,0.073600002,,,,,,,,,,
G10,0.0735,,,,,,,,,,
G11,0.073700003,,,,,,,,,,
G12,0.073700003,,,,,,,,,,
H1,0.076700002,,,,,,,,,,
H2,0.075599998,,,,,,,,,,
H3,0.074100003,,,,,,,,,,
H4,0.075300001,,,,,,,,,,
H5,0.076200001,,,,,,,,,,
H6,0.075099997,,,,,,,,,,
H7,0.072899997,,,,,,,,,,
H8,0.072899997,,,,,,,,,,
H9,0.074699998,,,,,,,,,,
H10,0.074299999,,,,,,,,,,
H11,0.073100001,,,,,,,,,,
H12,0.0735,,,,,,,,,,
,,,,,,,,,,,
mScarlet,,,,,,,,,,,
Cycle Nr.,1,,,,,,,,,,
Time [s],0,,,,,,,,,,
Temp. [°C],37.1,,,,,,,,,,
A1,274,,,,,,,,,,
A2,1743,,,,,,,,,,
A3,285,,,,,,,,,,
A4,848,,,,,,,,,,
A5,236,,,,,,,,,,
A6,207,,,,,,,,,,
A7,207,,,,,,,,,,
A8,198,,,,,,,,,,
A9,204,,,,,,,,,,
A10,212,,,,,,,,,,
A11,220,,,,,,,,,,
A12,224,,,,,,,,,,
B1,318,,,,,,,,,,
B2,207,,,,,,,,,,
B3,224,,,,,,,,,,
B4,235,,,,,,,,,,
B5,199,,,,,,,,,,
B6,206,,,,,,,,,,
B7,202,,,,,,,,,,
B8,211,,,,,,,,,,
B9,209,,,,,,,,,,
B10,217,,,,,,,,,,
B11,231,,,,,,,,,,
B12,237,,,,,,,,,,
C1,209,,,,,,,,,,
C2,283,,,,,,,,,,
C3,240,,,,,,,,,,
C4,282,,,,,,,,,,
C5,204,,,,,,,,,,
C6,223,,,,,,,,,,
C7,226,,,,,,,,,,
C8,224,,,,,,,,,,
C9,223,,,,,,,,,,
C10,219,,,,,,,,,,
C11,215,,,,,,,,,,
C12,223,,,,,,,,,,
D1,265,,,,,,,,,,
D2,228,,,,,,,,,,
D3,377,,,,,,,,,,
D4,215,,,,,,,,,,
D5,230,,,,,,,,,,
D6,201,,,,,,,,,,
D7,239,,,,,,,,,,
D8,207,,,,,,,,,,
D9,225,,,,,,,,,,
D10,224,,,,,,,,,,
D11,201,,,,,,,,,,
D12,204,,,,,,,,,,
E1,209,,,,,,,,,,
E2,276,,,,,,,,,,
E3,223,,,,,,,,,,
E4,250,,,,,,,,,,
E5,220,,,,,,,,,,
E6,238,,,,,,,,,,
E7,214,,,,,,,,,,
E8,180,,,,,,,,,,
E9,238,,,,,,,,,,
E10,241,,,,,,,,,,
E11,210,,,,,,,,,,
E12,211,,,,,,,,,,
F1,283,,,,,,,,,,
F2,215,,,,,,,,,,
F3,232,,,,,,,,,,
F4,229,,,,,,,,,,
F5,225,,,,,,,,,,
F6,213,,,,,,,,,,
F7,219,,,,,,,,,,
F8,214,,,,,,,,,,
F9,225,,,,,,,,,,
F10,203,,,,,,,,,,
F11,187,,,,,,,,,,
F12,204,,,,,,,,,,
G1,220,,,,,,,,,,
G2,212,,,,,,,,,,
G3,249,,,,,,,,,,
G4,228,,,,,,,,,,
G5,213,,,,,,,,,,
G6,224,,,,,,,,,,
G7,201,,,,,,,,,,
G8,198,,,,,,,,,,
G9,236,,,,,,,,,,
G10,217,,,,,,,,,,
G11,209,,,,,,,,,,
G12,224,,,,,,,,,,
H1,690,,,,,,,,,,
H2,279,,,,,,,,,,
H3,301,,,,,,,,,,
H4,223,,,,,,,,,,
H5,359,,,,,,,,,,
H6,215,,,,,,,,,,
H7,221,,,,,,,,,,
H8,196,,,,,,,,,,
H9,217,,,,,,,,,,
H10,191,,,,,,,,,,
H11,234,,,,,,,,,,
H12,224,,,,,,,,,,
,,,,,,,,,,,
GFP_1,,,,,,,,,,,
Cycle Nr.,1,,,,,,,,,,
Time [s],0,,,,,,,,,,
Temp. [°C],37.7,,,,,,,,,,
A1,105,,,,,,,,,,
A2,109,,,,,,,,,,
A3,109,,,,,,,,,,
A4,112,,,,,,,,,,
A5,108,,,,,,,,,,
A6,111,,,,,,,,,,
A7,116,,,,,,,,,,
A8,116,,,,,,,,,,
A9,117,,,,,,,,,,
A10,117,,,,,,,,,,
A11,115,,,,,,,,,,
A12,116,,,,,,,,,,
B1,110,,,,,,,,,,
B2,113,,,,,,,,,,
B3,111,,,,,,,,,,
B4,116,,,,,,,,,,
B5,113,,,,,,,,,,
B6,115,,,,,,,,,,
B7,120,,,,,,,,,,
B8,118,,,,,,,,,,
B9,116,,,,,,,,,,
B10,116,,,,,,,,,,
B11,121,,,,,,,,,,
B12,116,,,,,,,,,,
C1,109,,,,,,,,,,
C2,113,,,,,,,,,,
C3,116,,,,,,,,,,
C4,114,,,,,,,,,,
C5,110,,,,,,,,,,
C6,112,,,,,,,,,,
C7,114,,,,,,,,,,
C8,122,,,,,,,,,,
C9,119,,,,,,,,,,
C10,119,,,,,,,,,,
C11,119,,,,,,,,,,
C12,117,,,,,,,,,,
D1,108,,,,,,,,,,
D2,114,,,,,,,,,,
D3,117,,,,,,,,,,
D4,116,,,,,,,,,,
D5,116,,,,,,,,,,
D6,116,,,,,,,,,,
D7,123,,,,,,,,,,
D8,118,,,,,,,,,,
D9,121,,,,,,,,,,
D10,120,,,,,,,,,,
D11,120,,,,,,,,,,
D12,119,,,,,,,,,,
E1,112,,,,,,,,,,
E2,113,,,,,,,,,,
E3,118,,,,,,,,,,
E4,120,,,,,,,,,,
E5,114,,,,,,,,,,
E6,119,,,,,,,,,,
E7,118,,,,,,,,,,
E8,115,,,,,,,,,,
E9,118,,,,,,,,,,
E10,121,,,,,,,,,,
E11,119,,,,,,,,,,
E12,121,,,,,,,,,,
F1,110,,,,,,,,,,
F2,116,,,,,,,,,,
F3,116,,,,,,,,,,
F4,116,,,,,,,,,,
F5,117,,,,,,,,,,
F6,116,,,,,,,,,,
F7,118,,,,,,,,,,
F8,119,,,,,,,,,,
F9,122,,,,,,,,,,
F10,120,,,,,,,,,,
F11,114,,,,,,,,,,
F12,118,,,,,,,,,,
G1,111,,,,,,,,,,
G2,112,,,,,,,,,,
G3,113,,,,,,,,,,
G4,117,,,,,,,,,,
G5,117,,,,,,,,,,
G6,119,,,,,,,,,,
G7,118,,,,,,,,,,
G8,121,,,,,,,,,,
G9,121,,,,,,,,,,
G10,119,,,,,,,,,,
G11,118,,,,,,,,,,
G12,120,,,,,,,,,,
H1,112,,,,,,,,,,
H2,116,,,,,,,,,,
H3,117,,,,,,,,,,
H4,117,,,,,,,,,,
H5,115,,,,,,,,,,
H6,118,,,,,,,,,,
H7,118,,,,,,,,,,
H8,119,,,,,,,,,,
H9,118,,,,,,,,,,
H10,116,,,,,,,,,,
H11,117,,,,,,,,,,
H12,117,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
End Time:,,,,,,,,,,,