well,strain,plasmid,iptg,rep,,,,,,,,,,,,,
A1,naive 1x,HCK pT7 GFP,0,1,,,,,,,,,,,,,
A2,naive 1x,HCK pT7 GFP,5,1,,,,,,,,,,,,,
A3,naive 1x,HCK pT7 GFP,10,1,,,,,,,,,,,,,
A4,naive 1x,HCK pT7 GFP,20,1,,,,,,,,,,,,,
A5,naive 1x,HCK pT7 GFP,30,1,,,,,,,,,,,,,
A6,naive 1x,HCK pT7 GFP,40,1,,,,,,,,,,,,,
A7,naive 1x,HCK pT7 GFP,50,1,,,,,,,,,,,,,
A8,naive 1x,HCK pT7 GFP,75,1,,,,,,,,,,,,,
A9,naive 1x,HCK pT7 GFP,100,1,,,,,,,,,,,,,
A10,naive 1x,HCK pT7 GFP,150,1,,,,,,,,,,,,,
A11,naive 1x,HCK pT7 GFP,200,1,,,,,,,,,,,,,
A12,naive 1x,HCK pT7 GFP,400,1,,,,,,,,,,,,,
B1,naive 1x,HCK pT7 GFP,0,2,,,,,,,,,,,,,
B2,naive 1x,HCK pT7 GFP,5,2,,,,,,,,,,,,,
B3,naive 1x,HCK pT7 GFP,10,2,,,,,,,,,,,,,
B4,naive 1x,HCK pT7 GFP,20,2,,,,,,,,,,,,,
B5,naive 1x,HCK pT7 GFP,30,2,,,,,,,,,,,,,
B6,naive 1x,HCK pT7 GFP,40,2,,,,,,,,,,,,,
B7,naive 1x,HCK pT7 GFP,50,2,,,,,,,,,,,,,
B8,naive 1x,HCK pT7 GFP,75,2,,,,,,,,,,,,,
B9,naive 1x,HCK pT7 GFP,100,2,,,,,,,,,,,,,
B10,naive 1x,HCK pT7 GFP,150,2,,,,,,,,,,,,,
B11,naive 1x,HCK pT7 GFP,200,2,,,,,,,,,,,,,
B12,naive 1x,HCK pT7 GFP,400,2,,,,,,,,,,,,,
C1,naive 1x,HCK pT7 GFP,0,3,,,,,,,,,,,,,
C2,naive 1x,HCK pT7 GFP,5,3,,,,,,,,,,,,,
C3,naive 1x,HCK pT7 GFP,10,3,,,,,,,,,,,,,
C4,naive 1x,HCK pT7 GFP,20,3,,,,,,,,,,,,,
C5,naive 1x,HCK pT7 GFP,30,3,,,,,,,,,,,,,
C6,naive 1x,HCK pT7 GFP,40,3,,,,,,,,,,,,,
C7,naive 1x,HCK pT7 GFP,50,3,,,,,,,,,,,,,
C8,naive 1x,HCK pT7 GFP,75,3,,,,,,,,,,,,,
C9,naive 1x,HCK pT7 GFP,100,3,,,,,,,,,,,,,
C10,naive 1x,HCK pT7 GFP,150,3,,,,,,,,,,,,,
C11,naive 1x,HCK pT7 GFP,200,3,,,,,,,,,,,,,
C12,naive 1x,HCK pT7 GFP,400,3,,,,,,,,,,,,,
D1,naive 2x,HCK pT7 GFP,0,1,,,,,,,,,,,,,
D2,naive 2x,HCK pT7 GFP,5,1,,,,,,,,,,,,,
D3,naive 2x,HCK pT7 GFP,10,1,,,,,,,,,,,,,
D4,naive 2x,HCK pT7 GFP,20,1,,,,,,,,,,,,,
D5,naive 2x,HCK pT7 GFP,30,1,,,,,,,,,,,,,
D6,naive 2x,HCK pT7 GFP,40,1,,,,,,,,,,,,,
D7,naive 2x,HCK pT7 GFP,50,1,,,,,,,,,,,,,
D8,naive 2x,HCK pT7 GFP,75,1,,,,,,,,,,,,,
D9,naive 2x,HCK pT7 GFP,100,1,,,,,,,,,,,,,
D10,naive 2x,HCK pT7 GFP,150,1,,,,,,,,,,,,,
D11,naive 2x,HCK pT7 GFP,200,1,,,,,,,,,,,,,
D12,naive 2x,HCK pT7 GFP,400,1,,,,,,,,,,,,,
E1,naive 2x,HCK pT7 GFP,0,2,,,,,,,,,,,,,
E2,naive 2x,HCK pT7 GFP,5,2,,,,,,,,,,,,,
E3,naive 2x,HCK pT7 GFP,10,2,,,,,,,,,,,,,
E4,naive 2x,HCK pT7 GFP,20,2,,,,,,,,,,,,,
E5,naive 2x,HCK pT7 GFP,30,2,,,,,,,,,,,,,
E6,naive 2x,HCK pT7 GFP,40,2,,,,,,,,,,,,,
E7,naive 2x,HCK pT7 GFP,50,2,,,,,,,,,,,,,
E8,naive 2x,HCK pT7 GFP,75,2,,,,,,,,,,,,,
E9,naive 2x,HCK pT7 GFP,100,2,,,,,,,,,,,,,
E10,naive 2x,HCK pT7 GFP,150,2,,,,,,,,,,,,,
E11,naive 2x,HCK pT7 GFP,200,2,,,,,,,,,,,,,
E12,naive 2x,HCK pT7 GFP,400,2,,,,,,,,,,,,,
F1,naive 2x,HCK pT7 GFP,0,3,,,,,,,,,,,,,
F2,naive 2x,HCK pT7 GFP,5,3,,,,,,,,,,,,,
F3,naive 2x,HCK pT7 GFP,10,3,,,,,,,,,,,,,
F4,naive 2x,HCK pT7 GFP,20,3,,,,,,,,,,,,,
F5,naive 2x,HCK pT7 GFP,30,3,,,,,,,,,,,,,
F6,naive 2x,HCK pT7 GFP,40,3,,,,,,,,,,,,,
F7,naive 2x,HCK pT7 GFP,50,3,,,,,,,,,,,,,
F8,naive 2x,HCK pT7 GFP,75,3,,,,,,,,,,,,,
F9,naive 2x,HCK pT7 GFP,100,3,,,,,,,,,,,,,
F10,naive 2x,HCK pT7 GFP,150,3,,,,,,,,,,,,,
F11,naive 2x,HCK pT7 GFP,200,3,,,,,,,,,,,,,
F12,naive 2x,HCK pT7 GFP,400,3,,,,,,,,,,,,,