row,1,2,3,4,5,6,7,8,9,10,11,12,read
A,1.308,1.283,1.329,1.157,1.184,1.215,1.259,1.178,1.169,1.233,1.228,1.046,OD600_1
A,10,0,1,3,10,10,33,23,25,11,3,20,sfGFP_1
A,336,329,339,909,920,932,1652,1498,1636,364,352,506,sfGFP_2
A,1445,1390,1442,3927,3898,4042,7270,6578,7039,1582,1498,2194,sfGFP_3
B,1.075,1.157,1.173,1.052,1.083,1.087,1.19,1.2,1.163,1.257,1.255,1.169,OD600_1
B,669,680,704,665,703,757,473,489,458,285,265,245,sfGFP_1
B,37027,37379,37947,37058,38558,40400,26439,27143,25505,15164,13998,13162,sfGFP_2
B,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,67337,60158,59601,sfGFP_3
C,1.318,1.344,1.354,1.23,1.238,1.217,1.223,1.197,1.15,1.254,1.279,1.083,OD600_1
C,0,5,11,19,17,23,15,31,20,8,5,14,sfGFP_1
C,371,380,366,1033,995,1034,1515,1540,1529,374,364,547,sfGFP_2
C,1533,1569,1603,4496,4392,4483,6485,6501,6840,1695,1617,2349,sfGFP_3
D,0.908,0.972,0.99,1.151,1.143,1.127,1.198,1.167,1.182,1.204,1.235,1.224,OD600_1
D,1230,1214,1288,1342,1420,1479,888,842,865,410,397,393,sfGFP_1
D,66537,64180,68048,70868,75251,79270,47836,46423,46903,22146,21753,22195,sfGFP_2
D,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,97391,92669,91934,sfGFP_3
E,1.34,1.323,1.363,1.239,1.227,1.241,1.207,1.178,1.156,1.226,1.312,1.097,OD600_1
E,8,10,5,13,18,6,38,33,18,5,14,18,sfGFP_1
E,354,356,375,1038,1002,1030,1497,1482,1565,389,380,593,sfGFP_2
E,1535,1560,1577,4475,4295,4468,6483,6507,6595,1689,1681,2582,sfGFP_3
F,1.315,1.323,1.304,1.164,0.89,0.939,1.264,1.242,1.215,1.24,1.257,1.284,OD600_1
F,949,947,918,712,814,781,982,983,974,222,222,239,sfGFP_1
F,50567,49631,49002,40019,44181,42621,51286,53498,51384,11973,12303,13087,sfGFP_2
F,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,50583,50282,53768,sfGFP_3
G,0.045,0.044,0.045,1.303,1.339,1.335,0.536,0.523,0.52,0.048,0.048,0.048,OD600_1
G,0,5,0,0,1,3,8,0,6,10,0,0,sfGFP_1
G,82,91,91,136,135,125,172,158,157,11,11,26,sfGFP_2
G,410,404,390,548,558,575,722,700,703,83,81,77,sfGFP_3
H,0.049,0.046,0.047,0.047,0.048,0.048,0.047,0.052,0.047,0.047,0.048,0.048,OD600_1
H,12,1,0,0,9,0,0,1,2,12,4,0,sfGFP_1
H,13,9,15,10,16,24,18,14,27,22,26,16,sfGFP_2
H,90,79,94,74,82,93,95,84,84,95,78,84,sfGFP_3