well,strain,plasmid,iptg,rep
A1,JS006,HCA pT7 GFP,0,1
A2,JS006,HCA pT7 GFP,0,2
A3,JS006,HCA pT7 GFP,0,3
A4,JS006,HCK pT7 GFP,0,1
A5,JS006,HCK pT7 GFP,0,2
A6,JS006,HCK pT7 GFP,0,3
A7,JS006,HCK T13m pT7 GFP,0,1
A8,JS006,HCK T13m pT7 GFP,0,2
A9,JS006,HCK T13m pT7 GFP,0,3
A10,JS006,HCK T13m T12m pT7 GFP,0,1
A11,JS006,HCK T13m T12m pT7 GFP,0,2
A12,JS006,HCK T13m T12m pT7 GFP,0,3
B1,naive 1x,HCA pT7 GFP,0,1
B2,naive 1x,HCA pT7 GFP,0,2
B3,naive 1x,HCA pT7 GFP,0,3
B4,naive 1x,HCK pT7 GFP,0,1
B5,naive 1x,HCK pT7 GFP,0,2
B6,naive 1x,HCK pT7 GFP,0,3
B7,naive 1x,HCK T13m pT7 GFP,0,1
B8,naive 1x,HCK T13m pT7 GFP,0,2
B9,naive 1x,HCK T13m pT7 GFP,0,3
B10,naive 1x,HCK T13m T12m pT7 GFP,0,1
B11,naive 1x,HCK T13m T12m pT7 GFP,0,2
B12,naive 1x,HCK T13m T12m pT7 GFP,0,3
C1,JS006,HCA pT7 GFP,10,1
C2,JS006,HCA pT7 GFP,10,2
C3,JS006,HCA pT7 GFP,10,3
C4,JS006,HCK pT7 GFP,10,1
C5,JS006,HCK pT7 GFP,10,2
C6,JS006,HCK pT7 GFP,10,3
C7,JS006,HCK T13m pT7 GFP,10,1
C8,JS006,HCK T13m pT7 GFP,10,2
C9,JS006,HCK T13m pT7 GFP,10,3
C10,JS006,HCK T13m T12m pT7 GFP,10,1
C11,JS006,HCK T13m T12m pT7 GFP,10,2
C12,JS006,HCK T13m T12m pT7 GFP,10,3
D1,naive 1x,HCA pT7 GFP,10,1
D2,naive 1x,HCA pT7 GFP,10,2
D3,naive 1x,HCA pT7 GFP,10,3
D4,naive 1x,HCK pT7 GFP,10,1
D5,naive 1x,HCK pT7 GFP,10,2
D6,naive 1x,HCK pT7 GFP,10,3
D7,naive 1x,HCK T13m pT7 GFP,10,1
D8,naive 1x,HCK T13m pT7 GFP,10,2
D9,naive 1x,HCK T13m pT7 GFP,10,3
D10,naive 1x,HCK T13m T12m pT7 GFP,10,1
D11,naive 1x,HCK T13m T12m pT7 GFP,10,2
D12,naive 1x,HCK T13m T12m pT7 GFP,10,3
E1,JS006,HCA pT7 GFP,50,1
E2,JS006,HCA pT7 GFP,50,2
E3,JS006,HCA pT7 GFP,50,3
E4,JS006,HCK pT7 GFP,50,1
E5,JS006,HCK pT7 GFP,50,2
E6,JS006,HCK pT7 GFP,50,3
E7,JS006,HCK T13m pT7 GFP,50,1
E8,JS006,HCK T13m pT7 GFP,50,2
E9,JS006,HCK T13m pT7 GFP,50,3
E10,JS006,HCK T13m T12m pT7 GFP,50,1
E11,JS006,HCK T13m T12m pT7 GFP,50,2
E12,JS006,HCK T13m T12m pT7 GFP,50,3
F1,naive 1x,HCA pT7 GFP,50,1
F2,naive 1x,HCA pT7 GFP,50,2
F3,naive 1x,HCA pT7 GFP,50,3
F4,naive 1x,HCK pT7 GFP,50,1
F5,naive 1x,HCK pT7 GFP,50,2
F6,naive 1x,HCK pT7 GFP,50,3
F7,naive 1x,HCK T13m pT7 GFP,50,1
F8,naive 1x,HCK T13m pT7 GFP,50,2
F9,naive 1x,HCK T13m pT7 GFP,50,3
F10,naive 1x,HCK T13m T12m pT7 GFP,50,1
F11,naive 1x,HCK T13m T12m pT7 GFP,50,2
F12,naive 1x,HCK T13m T12m pT7 GFP,50,3
G1,media,none,0,1
G2,media,none,0,2
G3,media,none,0,3
G4,JS006,none,0,1
G5,JS006,none,0,2
G6,JS006,none,0,3
G7,empty,none,0,1
G8,empty,none,0,2
G9,empty,none,0,3
G10,empty,none,0,1
G11,empty,none,0,2
G12,empty,none,0,3