,well,strain,plasmid,iptg,rep,channel,gain,measurement,GFP/OD
2,A1,JS006,HCA pT7 GFP,0,1,sfGFP,2,336.0,265.9630606860158
6,A2,JS006,HCA pT7 GFP,0,2,sfGFP,2,329.0,265.67967698519516
10,A3,JS006,HCA pT7 GFP,0,3,sfGFP,2,339.0,263.9501686997145
14,A4,JS006,HCK pT7 GFP,0,1,sfGFP,2,909.0,817.2010788133053
18,A5,JS006,HCK pT7 GFP,0,2,sfGFP,2,920.0,807.4897600936221
22,A6,JS006,HCK pT7 GFP,0,3,sfGFP,2,932.0,796.3543150099686
26,A7,JS006,HCK T13m pT7 GFP,0,1,sfGFP,2,1652.0,1360.4172385396653
30,A8,JS006,HCK T13m pT7 GFP,0,2,sfGFP,2,1498.0,1321.764705882353
34,A9,JS006,HCK T13m pT7 GFP,0,3,sfGFP,2,1636.0,1455.0844945152683
38,A10,JS006,HCK T13m T12m pT7 GFP,0,1,sfGFP,2,364.0,306.3113604488079
42,A11,JS006,HCK T13m T12m pT7 GFP,0,2,sfGFP,2,352.0,297.46478873239437
46,A12,JS006,HCK T13m T12m pT7 GFP,0,3,sfGFP,2,506.0,505.32623169107853
50,B1,naive 1x,HCA pT7 GFP,0,1,sfGFP,2,37027.0,35936.91362018764
54,B2,naive 1x,HCA pT7 GFP,0,2,sfGFP,2,37379.0,33604.135451003895
58,B3,naive 1x,HCA pT7 GFP,0,3,sfGFP,2,37947.0,33631.019202363364
62,B4,naive 1x,HCK pT7 GFP,0,1,sfGFP,2,37058.0,36788.21972203838
66,B5,naive 1x,HCK pT7 GFP,0,2,sfGFP,2,38558.0,37134.51043338684
70,B6,naive 1x,HCK pT7 GFP,0,3,sfGFP,2,40400.0,38759.19411576591
74,B7,naive 1x,HCK T13m pT7 GFP,0,1,sfGFP,2,26439.0,23084.109429569267
78,B8,naive 1x,HCK T13m pT7 GFP,0,2,sfGFP,2,27143.0,23493.652625504907
82,B9,naive 1x,HCK T13m pT7 GFP,0,3,sfGFP,2,25505.0,22806.259314456034
86,B10,naive 1x,HCK T13m T12m pT7 GFP,0,1,sfGFP,2,15164.0,12508.1110805609
90,B11,naive 1x,HCK T13m T12m pT7 GFP,0,2,sfGFP,2,13998.0,11565.40897824291
94,B12,naive 1x,HCK T13m T12m pT7 GFP,0,3,sfGFP,2,13162.0,11706.492736436407
98,C1,JS006,HCA pT7 GFP,10,1,sfGFP,2,371.0,291.3612565445026
102,C2,JS006,HCA pT7 GFP,10,2,sfGFP,2,380.0,292.45767060030784
106,C3,JS006,HCA pT7 GFP,10,3,sfGFP,2,366.0,279.53156822810587
110,C4,JS006,HCK pT7 GFP,10,1,sfGFP,2,1033.0,871.4848143982002
114,C5,JS006,HCK pT7 GFP,10,2,sfGFP,2,995.0,833.7988826815642
118,C6,JS006,HCK pT7 GFP,10,3,sfGFP,2,1034.0,882.0017059994312
122,C7,JS006,HCK T13m pT7 GFP,10,1,sfGFP,2,1515.0,1285.7142857142856
126,C8,JS006,HCK T13m pT7 GFP,10,2,sfGFP,2,1540.0,1336.4188602834827
130,C9,JS006,HCK T13m pT7 GFP,10,3,sfGFP,2,1529.0,1383.2931242460797
134,C10,JS006,HCK T13m T12m pT7 GFP,10,1,sfGFP,2,374.0,309.26130099228226
138,C11,JS006,HCK T13m T12m pT7 GFP,10,2,sfGFP,2,364.0,294.89603024574666
142,C12,JS006,HCK T13m T12m pT7 GFP,10,3,sfGFP,2,547.0,526.8057784911717
146,D1,naive 1x,HCA pT7 GFP,10,1,sfGFP,2,66537.0,77069.88416988416
150,D2,naive 1x,HCA pT7 GFP,10,2,sfGFP,2,64180.0,69209.20201294032
154,D3,naive 1x,HCA pT7 GFP,10,3,sfGFP,2,68048.0,71983.07475317348
158,D4,naive 1x,HCK pT7 GFP,10,1,sfGFP,2,70868.0,64056.64356733955
162,D5,naive 1x,HCK pT7 GFP,10,2,sfGFP,2,75251.0,68513.80880121396
166,D6,naive 1x,HCK pT7 GFP,10,3,sfGFP,2,79270.0,73239.91376655374
170,D7,naive 1x,HCK T13m pT7 GFP,10,1,sfGFP,2,47836.0,41476.30057803468
174,D8,naive 1x,HCK T13m pT7 GFP,10,2,sfGFP,2,46423.0,41362.934362934364
178,D9,naive 1x,HCK T13m pT7 GFP,10,3,sfGFP,2,46903.0,41239.449003517
182,D10,naive 1x,HCK T13m T12m pT7 GFP,10,1,sfGFP,2,22146.0,19102.357676825763
186,D11,naive 1x,HCK T13m T12m pT7 GFP,10,2,sfGFP,2,21753.0,18274.712965555864
190,D12,naive 1x,HCK T13m T12m pT7 GFP,10,3,sfGFP,2,22195.0,18819.954776710005
194,E1,JS006,HCA pT7 GFP,50,1,sfGFP,2,354.0,273.28872876994336
198,E2,JS006,HCA pT7 GFP,50,2,sfGFP,2,356.0,278.4876140808344
202,E3,JS006,HCA pT7 GFP,50,3,sfGFP,2,375.0,284.45006321112515
206,E4,JS006,HCK pT7 GFP,50,1,sfGFP,2,1038.0,869.1041027072284
210,E5,JS006,HCK pT7 GFP,50,2,sfGFP,2,1002.0,847.4767409078094
214,E6,JS006,HCK pT7 GFP,50,3,sfGFP,2,1030.0,860.9640568403454
218,E7,JS006,HCK T13m pT7 GFP,50,1,sfGFP,2,1497.0,1287.9265844565527
222,E8,JS006,HCK T13m pT7 GFP,50,2,sfGFP,2,1482.0,1307.6470588235295
226,E9,JS006,HCK T13m pT7 GFP,50,3,sfGFP,2,1565.0,1408.2183563287342
230,E10,JS006,HCK T13m T12m pT7 GFP,50,1,sfGFP,2,389.0,329.28893905191876
234,E11,JS006,HCK T13m T12m pT7 GFP,50,2,sfGFP,2,380.0,299.84218832193585
238,E12,JS006,HCK T13m T12m pT7 GFP,50,3,sfGFP,2,593.0,563.5096610706366
242,F1,naive 1x,HCA pT7 GFP,50,1,sfGFP,2,50567.0,39806.0876410391
246,F2,naive 1x,HCA pT7 GFP,50,2,sfGFP,2,49631.0,38824.77183833116
250,F3,naive 1x,HCA pT7 GFP,50,3,sfGFP,2,49002.0,38911.06405505558
254,F4,naive 1x,HCK pT7 GFP,50,1,sfGFP,2,40019.0,35752.53126861227
258,F5,naive 1x,HCK pT7 GFP,50,2,sfGFP,2,44181.0,52264.58990536277
262,F6,naive 1x,HCK pT7 GFP,50,3,sfGFP,2,42621.0,47656.72754379426
266,F7,naive 1x,HCK T13m pT7 GFP,50,1,sfGFP,2,51286.0,42060.68890103882
270,F8,naive 1x,HCK T13m pT7 GFP,50,2,sfGFP,2,53498.0,44680.957683741646
274,F9,naive 1x,HCK T13m pT7 GFP,50,3,sfGFP,2,51384.0,43905.44004557106
278,F10,naive 1x,HCK T13m T12m pT7 GFP,50,1,sfGFP,2,11973.0,10016.452872281094
282,F11,naive 1x,HCK T13m T12m pT7 GFP,50,2,sfGFP,2,12303.0,10148.199065163595
286,F12,naive 1x,HCK T13m T12m pT7 GFP,50,3,sfGFP,2,13087.0,10559.709521247982
302,G4,JS006,none,0,1,sfGFP,2,136.0,108.0794701986755
306,G5,JS006,none,0,2,sfGFP,2,135.0,104.30079835178985
310,G6,JS006,none,0,3,sfGFP,2,125.0,96.8741927150607
