well,strain,sal,las,iptg,chlor,cole1,rep
A1,1x diff 2x bxb1,0,0.3,10,+,carb,1
A2,1x diff 2x bxb1,0,0.03,10,+,carb,1
A3,1x diff 2x bxb1,0,0.3,10,+,carb,2
A4,1x diff 2x bxb1,0,0.03,10,+,carb,2
A5,1x diff 2x bxb1,0,0.3,10,+,carb,3
A6,1x diff 2x bxb1,0,0.03,10,+,carb,3
A7,split pir 2x bxb1,0,0.3,10,+,carb,1
A8,split pir 2x bxb1,0,0.03,10,+,carb,1
A9,split pir 2x bxb1,0,0.3,10,+,carb,2
A10,split pir 2x bxb1,0,0.03,10,+,carb,2
A11,split pir 2x bxb1,0,0.3,10,+,carb,3
A12,split pir 2x bxb1,0,0.03,10,+,carb,3
A13,1x diff 2x bxb1,0,0.3,10,+,kan,1
A14,1x diff 2x bxb1,0,0.03,10,+,kan,1
A15,1x diff 2x bxb1,0,0.3,10,+,kan,2
A16,1x diff 2x bxb1,0,0.03,10,+,kan,2
A17,1x diff 2x bxb1,0,0.3,10,+,kan,3
A18,1x diff 2x bxb1,0,0.03,10,+,kan,3
A19,split pir 2x bxb1,0,0.3,10,+,kan,1
A20,split pir 2x bxb1,0,0.03,10,+,kan,1
A21,split pir 2x bxb1,0,0.3,10,+,kan,2
A22,split pir 2x bxb1,0,0.03,10,+,kan,2
A23,split pir 2x bxb1,0,0.3,10,+,kan,3
A24,split pir 2x bxb1,0,0.03,10,+,kan,3
B1,1x diff 2x bxb1,15,0.3,10,+,carb,1
B2,1x diff 2x bxb1,15,0.03,10,+,carb,1
B3,1x diff 2x bxb1,15,0.3,10,+,carb,2
B4,1x diff 2x bxb1,15,0.03,10,+,carb,2
B5,1x diff 2x bxb1,15,0.3,10,+,carb,3
B6,1x diff 2x bxb1,15,0.03,10,+,carb,3
B7,split pir 2x bxb1,15,0.3,10,+,carb,1
B8,split pir 2x bxb1,15,0.03,10,+,carb,1
B9,split pir 2x bxb1,15,0.3,10,+,carb,2
B10,split pir 2x bxb1,15,0.03,10,+,carb,2
B11,split pir 2x bxb1,15,0.3,10,+,carb,3
B12,split pir 2x bxb1,15,0.03,10,+,carb,3
B13,1x diff 2x bxb1,15,0.3,10,+,kan,1
B14,1x diff 2x bxb1,15,0.03,10,+,kan,1
B15,1x diff 2x bxb1,15,0.3,10,+,kan,2
B16,1x diff 2x bxb1,15,0.03,10,+,kan,2
B17,1x diff 2x bxb1,15,0.3,10,+,kan,3
B18,1x diff 2x bxb1,15,0.03,10,+,kan,3
B19,split pir 2x bxb1,15,0.3,10,+,kan,1
B20,split pir 2x bxb1,15,0.03,10,+,kan,1
B21,split pir 2x bxb1,15,0.3,10,+,kan,2
B22,split pir 2x bxb1,15,0.03,10,+,kan,2
B23,split pir 2x bxb1,15,0.3,10,+,kan,3
B24,split pir 2x bxb1,15,0.03,10,+,kan,3
C1,1x diff 2x bxb1,20,0.3,10,+,carb,1
C2,1x diff 2x bxb1,20,0.03,10,+,carb,1
C3,1x diff 2x bxb1,20,0.3,10,+,carb,2
C4,1x diff 2x bxb1,20,0.03,10,+,carb,2
C5,1x diff 2x bxb1,20,0.3,10,+,carb,3
C6,1x diff 2x bxb1,20,0.03,10,+,carb,3
C7,split pir 2x bxb1,20,0.3,10,+,carb,1
C8,split pir 2x bxb1,20,0.03,10,+,carb,1
C9,split pir 2x bxb1,20,0.3,10,+,carb,2
C10,split pir 2x bxb1,20,0.03,10,+,carb,2
C11,split pir 2x bxb1,20,0.3,10,+,carb,3
C12,split pir 2x bxb1,20,0.03,10,+,carb,3
C13,1x diff 2x bxb1,20,0.3,10,+,kan,1
C14,1x diff 2x bxb1,20,0.03,10,+,kan,1
C15,1x diff 2x bxb1,20,0.3,10,+,kan,2
C16,1x diff 2x bxb1,20,0.03,10,+,kan,2
C17,1x diff 2x bxb1,20,0.3,10,+,kan,3
C18,1x diff 2x bxb1,20,0.03,10,+,kan,3
C19,split pir 2x bxb1,20,0.3,10,+,kan,1
C20,split pir 2x bxb1,20,0.03,10,+,kan,1
C21,split pir 2x bxb1,20,0.3,10,+,kan,2
C22,split pir 2x bxb1,20,0.03,10,+,kan,2
C23,split pir 2x bxb1,20,0.3,10,+,kan,3
C24,split pir 2x bxb1,20,0.03,10,+,kan,3
D1,1x diff 2x bxb1,30,0.3,10,+,carb,1
D2,1x diff 2x bxb1,30,0.03,10,+,carb,1
D3,1x diff 2x bxb1,30,0.3,10,+,carb,2
D4,1x diff 2x bxb1,30,0.03,10,+,carb,2
D5,1x diff 2x bxb1,30,0.3,10,+,carb,3
D6,1x diff 2x bxb1,30,0.03,10,+,carb,3
D7,split pir 2x bxb1,30,0.3,10,+,carb,1
D8,split pir 2x bxb1,30,0.03,10,+,carb,1
D9,split pir 2x bxb1,30,0.3,10,+,carb,2
D10,split pir 2x bxb1,30,0.03,10,+,carb,2
D11,split pir 2x bxb1,30,0.3,10,+,carb,3
D12,split pir 2x bxb1,30,0.03,10,+,carb,3
D13,1x diff 2x bxb1,30,0.3,10,+,kan,1
D14,1x diff 2x bxb1,30,0.03,10,+,kan,1
D15,1x diff 2x bxb1,30,0.3,10,+,kan,2
D16,1x diff 2x bxb1,30,0.03,10,+,kan,2
D17,1x diff 2x bxb1,30,0.3,10,+,kan,3
D18,1x diff 2x bxb1,30,0.03,10,+,kan,3
D19,split pir 2x bxb1,30,0.3,10,+,kan,1
D20,split pir 2x bxb1,30,0.03,10,+,kan,1
D21,split pir 2x bxb1,30,0.3,10,+,kan,2
D22,split pir 2x bxb1,30,0.03,10,+,kan,2
D23,split pir 2x bxb1,30,0.3,10,+,kan,3
D24,split pir 2x bxb1,30,0.03,10,+,kan,3
E1,1x diff 2x bxb1,0,0.3,50,+,carb,1
E2,1x diff 2x bxb1,0,0.03,50,+,carb,1
E3,1x diff 2x bxb1,0,0.3,50,+,carb,2
E4,1x diff 2x bxb1,0,0.03,50,+,carb,2
E5,1x diff 2x bxb1,0,0.3,50,+,carb,3
E6,1x diff 2x bxb1,0,0.03,50,+,carb,3
E7,split pir 2x bxb1,0,0.3,50,+,carb,1
E8,split pir 2x bxb1,0,0.03,50,+,carb,1
E9,split pir 2x bxb1,0,0.3,50,+,carb,2
E10,split pir 2x bxb1,0,0.03,50,+,carb,2
E11,split pir 2x bxb1,0,0.3,50,+,carb,3
E12,split pir 2x bxb1,0,0.03,50,+,carb,3
E13,1x diff 2x bxb1,0,0.3,50,+,kan,1
E14,1x diff 2x bxb1,0,0.03,50,+,kan,1
E15,1x diff 2x bxb1,0,0.3,50,+,kan,2
E16,1x diff 2x bxb1,0,0.03,50,+,kan,2
E17,1x diff 2x bxb1,0,0.3,50,+,kan,3
E18,1x diff 2x bxb1,0,0.03,50,+,kan,3
E19,split pir 2x bxb1,0,0.3,50,+,kan,1
E20,split pir 2x bxb1,0,0.03,50,+,kan,1
E21,split pir 2x bxb1,0,0.3,50,+,kan,2
E22,split pir 2x bxb1,0,0.03,50,+,kan,2
E23,split pir 2x bxb1,0,0.3,50,+,kan,3
E24,split pir 2x bxb1,0,0.03,50,+,kan,3
F1,1x diff 2x bxb1,15,0.3,50,+,carb,1
F2,1x diff 2x bxb1,15,0.03,50,+,carb,1
F3,1x diff 2x bxb1,15,0.3,50,+,carb,2
F4,1x diff 2x bxb1,15,0.03,50,+,carb,2
F5,1x diff 2x bxb1,15,0.3,50,+,carb,3
F6,1x diff 2x bxb1,15,0.03,50,+,carb,3
F7,split pir 2x bxb1,15,0.3,50,+,carb,1
F8,split pir 2x bxb1,15,0.03,50,+,carb,1
F9,split pir 2x bxb1,15,0.3,50,+,carb,2
F10,split pir 2x bxb1,15,0.03,50,+,carb,2
F11,split pir 2x bxb1,15,0.3,50,+,carb,3
F12,split pir 2x bxb1,15,0.03,50,+,carb,3
F13,1x diff 2x bxb1,15,0.3,50,+,kan,1
F14,1x diff 2x bxb1,15,0.03,50,+,kan,1
F15,1x diff 2x bxb1,15,0.3,50,+,kan,2
F16,1x diff 2x bxb1,15,0.03,50,+,kan,2
F17,1x diff 2x bxb1,15,0.3,50,+,kan,3
F18,1x diff 2x bxb1,15,0.03,50,+,kan,3
F19,split pir 2x bxb1,15,0.3,50,+,kan,1
F20,split pir 2x bxb1,15,0.03,50,+,kan,1
F21,split pir 2x bxb1,15,0.3,50,+,kan,2
F22,split pir 2x bxb1,15,0.03,50,+,kan,2
F23,split pir 2x bxb1,15,0.3,50,+,kan,3
F24,split pir 2x bxb1,15,0.03,50,+,kan,3
G1,1x diff 2x bxb1,20,0.3,50,+,carb,1
G2,1x diff 2x bxb1,20,0.03,50,+,carb,1
G3,1x diff 2x bxb1,20,0.3,50,+,carb,2
G4,1x diff 2x bxb1,20,0.03,50,+,carb,2
G5,1x diff 2x bxb1,20,0.3,50,+,carb,3
G6,1x diff 2x bxb1,20,0.03,50,+,carb,3
G7,split pir 2x bxb1,20,0.3,50,+,carb,1
G8,split pir 2x bxb1,20,0.03,50,+,carb,1
G9,split pir 2x bxb1,20,0.3,50,+,carb,2
G10,split pir 2x bxb1,20,0.03,50,+,carb,2
G11,split pir 2x bxb1,20,0.3,50,+,carb,3
G12,split pir 2x bxb1,20,0.03,50,+,carb,3
G13,1x diff 2x bxb1,20,0.3,50,+,kan,1
G14,1x diff 2x bxb1,20,0.03,50,+,kan,1
G15,1x diff 2x bxb1,20,0.3,50,+,kan,2
G16,1x diff 2x bxb1,20,0.03,50,+,kan,2
G17,1x diff 2x bxb1,20,0.3,50,+,kan,3
G18,1x diff 2x bxb1,20,0.03,50,+,kan,3
G19,split pir 2x bxb1,20,0.3,50,+,kan,1
G20,split pir 2x bxb1,20,0.03,50,+,kan,1
G21,split pir 2x bxb1,20,0.3,50,+,kan,2
G22,split pir 2x bxb1,20,0.03,50,+,kan,2
G23,split pir 2x bxb1,20,0.3,50,+,kan,3
G24,split pir 2x bxb1,20,0.03,50,+,kan,3
H1,1x diff 2x bxb1,30,0.3,50,+,carb,1
H2,1x diff 2x bxb1,30,0.03,50,+,carb,1
H3,1x diff 2x bxb1,30,0.3,50,+,carb,2
H4,1x diff 2x bxb1,30,0.03,50,+,carb,2
H5,1x diff 2x bxb1,30,0.3,50,+,carb,3
H6,1x diff 2x bxb1,30,0.03,50,+,carb,3
H7,split pir 2x bxb1,30,0.3,50,+,carb,1
H8,split pir 2x bxb1,30,0.03,50,+,carb,1
H9,split pir 2x bxb1,30,0.3,50,+,carb,2
H10,split pir 2x bxb1,30,0.03,50,+,carb,2
H11,split pir 2x bxb1,30,0.3,50,+,carb,3
H12,split pir 2x bxb1,30,0.03,50,+,carb,3
H13,1x diff 2x bxb1,30,0.3,50,+,kan,1
H14,1x diff 2x bxb1,30,0.03,50,+,kan,1
H15,1x diff 2x bxb1,30,0.3,50,+,kan,2
H16,1x diff 2x bxb1,30,0.03,50,+,kan,2
H17,1x diff 2x bxb1,30,0.3,50,+,kan,3
H18,1x diff 2x bxb1,30,0.03,50,+,kan,3
H19,split pir 2x bxb1,30,0.3,50,+,kan,1
H20,split pir 2x bxb1,30,0.03,50,+,kan,1
H21,split pir 2x bxb1,30,0.3,50,+,kan,2
H22,split pir 2x bxb1,30,0.03,50,+,kan,2
H23,split pir 2x bxb1,30,0.3,50,+,kan,3
H24,split pir 2x bxb1,30,0.03,50,+,kan,3
I1,1x diff 2x bxb1,0,0.1,10,+,carb,1
I2,1x diff 2x bxb1,0,0.01,10,+,carb,1
I3,1x diff 2x bxb1,0,0.1,10,+,carb,2
I4,1x diff 2x bxb1,0,0.01,10,+,carb,2
I5,1x diff 2x bxb1,0,0.1,10,+,carb,3
I6,1x diff 2x bxb1,0,0.01,10,+,carb,3
I7,split pir 2x bxb1,0,0.1,10,+,carb,1
I8,split pir 2x bxb1,0,0.01,10,+,carb,1
I9,split pir 2x bxb1,0,0.1,10,+,carb,2
I10,split pir 2x bxb1,0,0.01,10,+,carb,2
I11,split pir 2x bxb1,0,0.1,10,+,carb,3
I12,split pir 2x bxb1,0,0.01,10,+,carb,3
I13,1x diff 2x bxb1,0,0.1,10,+,kan,1
I14,1x diff 2x bxb1,0,0.01,10,+,kan,1
I15,1x diff 2x bxb1,0,0.1,10,+,kan,2
I16,1x diff 2x bxb1,0,0.01,10,+,kan,2
I17,1x diff 2x bxb1,0,0.1,10,+,kan,3
I18,1x diff 2x bxb1,0,0.01,10,+,kan,3
I19,split pir 2x bxb1,0,0.1,10,+,kan,1
I20,split pir 2x bxb1,0,0.01,10,+,kan,1
I21,split pir 2x bxb1,0,0.1,10,+,kan,2
I22,split pir 2x bxb1,0,0.01,10,+,kan,2
I23,split pir 2x bxb1,0,0.1,10,+,kan,3
I24,split pir 2x bxb1,0,0.01,10,+,kan,3
J1,1x diff 2x bxb1,15,0.1,10,+,carb,1
J2,1x diff 2x bxb1,15,0.01,10,+,carb,1
J3,1x diff 2x bxb1,15,0.1,10,+,carb,2
J4,1x diff 2x bxb1,15,0.01,10,+,carb,2
J5,1x diff 2x bxb1,15,0.1,10,+,carb,3
J6,1x diff 2x bxb1,15,0.01,10,+,carb,3
J7,split pir 2x bxb1,15,0.1,10,+,carb,1
J8,split pir 2x bxb1,15,0.01,10,+,carb,1
J9,split pir 2x bxb1,15,0.1,10,+,carb,2
J10,split pir 2x bxb1,15,0.01,10,+,carb,2
J11,split pir 2x bxb1,15,0.1,10,+,carb,3
J12,split pir 2x bxb1,15,0.01,10,+,carb,3
J13,1x diff 2x bxb1,15,0.1,10,+,kan,1
J14,1x diff 2x bxb1,15,0.01,10,+,kan,1
J15,1x diff 2x bxb1,15,0.1,10,+,kan,2
J16,1x diff 2x bxb1,15,0.01,10,+,kan,2
J17,1x diff 2x bxb1,15,0.1,10,+,kan,3
J18,1x diff 2x bxb1,15,0.01,10,+,kan,3
J19,split pir 2x bxb1,15,0.1,10,+,kan,1
J20,split pir 2x bxb1,15,0.01,10,+,kan,1
J21,split pir 2x bxb1,15,0.1,10,+,kan,2
J22,split pir 2x bxb1,15,0.01,10,+,kan,2
J23,split pir 2x bxb1,15,0.1,10,+,kan,3
J24,split pir 2x bxb1,15,0.01,10,+,kan,3
K1,1x diff 2x bxb1,20,0.1,10,+,carb,1
K2,1x diff 2x bxb1,20,0.01,10,+,carb,1
K3,1x diff 2x bxb1,20,0.1,10,+,carb,2
K4,1x diff 2x bxb1,20,0.01,10,+,carb,2
K5,1x diff 2x bxb1,20,0.1,10,+,carb,3
K6,1x diff 2x bxb1,20,0.01,10,+,carb,3
K7,split pir 2x bxb1,20,0.1,10,+,carb,1
K8,split pir 2x bxb1,20,0.01,10,+,carb,1
K9,split pir 2x bxb1,20,0.1,10,+,carb,2
K10,split pir 2x bxb1,20,0.01,10,+,carb,2
K11,split pir 2x bxb1,20,0.1,10,+,carb,3
K12,split pir 2x bxb1,20,0.01,10,+,carb,3
K13,1x diff 2x bxb1,20,0.1,10,+,kan,1
K14,1x diff 2x bxb1,20,0.01,10,+,kan,1
K15,1x diff 2x bxb1,20,0.1,10,+,kan,2
K16,1x diff 2x bxb1,20,0.01,10,+,kan,2
K17,1x diff 2x bxb1,20,0.1,10,+,kan,3
K18,1x diff 2x bxb1,20,0.01,10,+,kan,3
K19,split pir 2x bxb1,20,0.1,10,+,kan,1
K20,split pir 2x bxb1,20,0.01,10,+,kan,1
K21,split pir 2x bxb1,20,0.1,10,+,kan,2
K22,split pir 2x bxb1,20,0.01,10,+,kan,2
K23,split pir 2x bxb1,20,0.1,10,+,kan,3
K24,split pir 2x bxb1,20,0.01,10,+,kan,3
L1,1x diff 2x bxb1,30,0.1,10,+,carb,1
L2,1x diff 2x bxb1,30,0.01,10,+,carb,1
L3,1x diff 2x bxb1,30,0.1,10,+,carb,2
L4,1x diff 2x bxb1,30,0.01,10,+,carb,2
L5,1x diff 2x bxb1,30,0.1,10,+,carb,3
L6,1x diff 2x bxb1,30,0.01,10,+,carb,3
L7,split pir 2x bxb1,30,0.1,10,+,carb,1
L8,split pir 2x bxb1,30,0.01,10,+,carb,1
L9,split pir 2x bxb1,30,0.1,10,+,carb,2
L10,split pir 2x bxb1,30,0.01,10,+,carb,2
L11,split pir 2x bxb1,30,0.1,10,+,carb,3
L12,split pir 2x bxb1,30,0.01,10,+,carb,3
L13,1x diff 2x bxb1,30,0.1,10,+,kan,1
L14,1x diff 2x bxb1,30,0.01,10,+,kan,1
L15,1x diff 2x bxb1,30,0.1,10,+,kan,2
L16,1x diff 2x bxb1,30,0.01,10,+,kan,2
L17,1x diff 2x bxb1,30,0.1,10,+,kan,3
L18,1x diff 2x bxb1,30,0.01,10,+,kan,3
L19,split pir 2x bxb1,30,0.1,10,+,kan,1
L20,split pir 2x bxb1,30,0.01,10,+,kan,1
L21,split pir 2x bxb1,30,0.1,10,+,kan,2
L22,split pir 2x bxb1,30,0.01,10,+,kan,2
L23,split pir 2x bxb1,30,0.1,10,+,kan,3
L24,split pir 2x bxb1,30,0.01,10,+,kan,3
M1,1x diff 2x bxb1,0,0.1,50,+,carb,1
M2,1x diff 2x bxb1,0,0.01,50,+,carb,1
M3,1x diff 2x bxb1,0,0.1,50,+,carb,2
M4,1x diff 2x bxb1,0,0.01,50,+,carb,2
M5,1x diff 2x bxb1,0,0.1,50,+,carb,3
M6,1x diff 2x bxb1,0,0.01,50,+,carb,3
M7,split pir 2x bxb1,0,0.1,50,+,carb,1
M8,split pir 2x bxb1,0,0.01,50,+,carb,1
M9,split pir 2x bxb1,0,0.1,50,+,carb,2
M10,split pir 2x bxb1,0,0.01,50,+,carb,2
M11,split pir 2x bxb1,0,0.1,50,+,carb,3
M12,split pir 2x bxb1,0,0.01,50,+,carb,3
M13,1x diff 2x bxb1,0,0.1,50,+,kan,1
M14,1x diff 2x bxb1,0,0.01,50,+,kan,1
M15,1x diff 2x bxb1,0,0.1,50,+,kan,2
M16,1x diff 2x bxb1,0,0.01,50,+,kan,2
M17,1x diff 2x bxb1,0,0.1,50,+,kan,3
M18,1x diff 2x bxb1,0,0.01,50,+,kan,3
M19,split pir 2x bxb1,0,0.1,50,+,kan,1
M20,split pir 2x bxb1,0,0.01,50,+,kan,1
M21,split pir 2x bxb1,0,0.1,50,+,kan,2
M22,split pir 2x bxb1,0,0.01,50,+,kan,2
M23,split pir 2x bxb1,0,0.1,50,+,kan,3
M24,split pir 2x bxb1,0,0.01,50,+,kan,3
N1,1x diff 2x bxb1,15,0.1,50,+,carb,1
N2,1x diff 2x bxb1,15,0.01,50,+,carb,1
N3,1x diff 2x bxb1,15,0.1,50,+,carb,2
N4,1x diff 2x bxb1,15,0.01,50,+,carb,2
N5,1x diff 2x bxb1,15,0.1,50,+,carb,3
N6,1x diff 2x bxb1,15,0.01,50,+,carb,3
N7,split pir 2x bxb1,15,0.1,50,+,carb,1
N8,split pir 2x bxb1,15,0.01,50,+,carb,1
N9,split pir 2x bxb1,15,0.1,50,+,carb,2
N10,split pir 2x bxb1,15,0.01,50,+,carb,2
N11,split pir 2x bxb1,15,0.1,50,+,carb,3
N12,split pir 2x bxb1,15,0.01,50,+,carb,3
N13,1x diff 2x bxb1,15,0.1,50,+,kan,1
N14,1x diff 2x bxb1,15,0.01,50,+,kan,1
N15,1x diff 2x bxb1,15,0.1,50,+,kan,2
N16,1x diff 2x bxb1,15,0.01,50,+,kan,2
N17,1x diff 2x bxb1,15,0.1,50,+,kan,3
N18,1x diff 2x bxb1,15,0.01,50,+,kan,3
N19,split pir 2x bxb1,15,0.1,50,+,kan,1
N20,split pir 2x bxb1,15,0.01,50,+,kan,1
N21,split pir 2x bxb1,15,0.1,50,+,kan,2
N22,split pir 2x bxb1,15,0.01,50,+,kan,2
N23,split pir 2x bxb1,15,0.1,50,+,kan,3
N24,split pir 2x bxb1,15,0.01,50,+,kan,3
O1,1x diff 2x bxb1,20,0.1,50,+,carb,1
O2,1x diff 2x bxb1,20,0.01,50,+,carb,1
O3,1x diff 2x bxb1,20,0.1,50,+,carb,2
O4,1x diff 2x bxb1,20,0.01,50,+,carb,2
O5,1x diff 2x bxb1,20,0.1,50,+,carb,3
O6,1x diff 2x bxb1,20,0.01,50,+,carb,3
O7,split pir 2x bxb1,20,0.1,50,+,carb,1
O8,split pir 2x bxb1,20,0.01,50,+,carb,1
O9,split pir 2x bxb1,20,0.1,50,+,carb,2
O10,split pir 2x bxb1,20,0.01,50,+,carb,2
O11,split pir 2x bxb1,20,0.1,50,+,carb,3
O12,split pir 2x bxb1,20,0.01,50,+,carb,3
O13,1x diff 2x bxb1,20,0.1,50,+,kan,1
O14,1x diff 2x bxb1,20,0.01,50,+,kan,1
O15,1x diff 2x bxb1,20,0.1,50,+,kan,2
O16,1x diff 2x bxb1,20,0.01,50,+,kan,2
O17,1x diff 2x bxb1,20,0.1,50,+,kan,3
O18,1x diff 2x bxb1,20,0.01,50,+,kan,3
O19,split pir 2x bxb1,20,0.1,50,+,kan,1
O20,split pir 2x bxb1,20,0.01,50,+,kan,1
O21,split pir 2x bxb1,20,0.1,50,+,kan,2
O22,split pir 2x bxb1,20,0.01,50,+,kan,2
O23,split pir 2x bxb1,20,0.1,50,+,kan,3
O24,split pir 2x bxb1,20,0.01,50,+,kan,3
P1,1x diff 2x bxb1,30,0.1,50,+,carb,1
P2,1x diff 2x bxb1,30,0.01,50,+,carb,1
P3,1x diff 2x bxb1,30,0.1,50,+,carb,2
P4,1x diff 2x bxb1,30,0.01,50,+,carb,2
P5,1x diff 2x bxb1,30,0.1,50,+,carb,3
P6,1x diff 2x bxb1,30,0.01,50,+,carb,3
P7,split pir 2x bxb1,30,0.1,50,+,carb,1
P8,split pir 2x bxb1,30,0.01,50,+,carb,1
P9,split pir 2x bxb1,30,0.1,50,+,carb,2
P10,split pir 2x bxb1,30,0.01,50,+,carb,2
P11,split pir 2x bxb1,30,0.1,50,+,carb,3
P12,split pir 2x bxb1,30,0.01,50,+,carb,3
P13,1x diff 2x bxb1,30,0.1,50,+,kan,1
P14,1x diff 2x bxb1,30,0.01,50,+,kan,1
P15,1x diff 2x bxb1,30,0.1,50,+,kan,2
P16,1x diff 2x bxb1,30,0.01,50,+,kan,2
P17,1x diff 2x bxb1,30,0.1,50,+,kan,3
P18,1x diff 2x bxb1,30,0.01,50,+,kan,3
P19,split pir 2x bxb1,30,0.1,50,+,kan,1
P20,split pir 2x bxb1,30,0.01,50,+,kan,1
P21,split pir 2x bxb1,30,0.1,50,+,kan,2
P22,split pir 2x bxb1,30,0.01,50,+,kan,2
P23,split pir 2x bxb1,30,0.1,50,+,kan,3
P24,split pir 2x bxb1,30,0.01,50,+,kan,3